country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","03-06-2026 23:00:00",22.06631475,83.33820077,PM2.5,33,69,48
India,Delhi,Delhi,"Alipur, Delhi - DPCC","03-06-2026 23:00:00",28.815329,77.153010,PM2.5,70,311,127
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","03-06-2026 23:00:00",24.792403,84.992416,NH3,1,1,1
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","03-06-2026 23:00:00",24.762518,84.982348,PM2.5,37,52,44
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","03-06-2026 23:00:00",24.762518,84.982348,NO2,16,26,21
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","03-06-2026 23:00:00",24.762518,84.982348,NH3,3,6,4
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","03-06-2026 23:00:00",25.560083,87.553265,PM10,28,46,39
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","03-06-2026 23:00:00",26.0881305,87.93840336,PM10,90,133,107
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","03-06-2026 23:00:00",26.0881305,87.93840336,CO,13,16,14
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","03-06-2026 23:00:00",27.308328,84.531742,NO2,2,9,4
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","03-06-2026 23:00:00",27.308328,84.531742,SO2,15,17,16
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","03-06-2026 23:00:00",26.63086,84.90051,NO2,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","03-06-2026 23:00:00",26.63086,84.90051,CO,12,15,13
India,Bihar,Munger,"Town Hall, Munger - BSPCB","03-06-2026 23:00:00",25.376776,86.471523,PM10,26,132,56
India,Bihar,Munger,"Town Hall, Munger - BSPCB","03-06-2026 23:00:00",25.376776,86.471523,NO2,7,7,7
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","03-06-2026 23:00:00",26.1403345,85.3650192,OZONE,38,69,67
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","03-06-2026 23:00:00",24.952822,84.002396,OZONE,7,38,20
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","03-06-2026 23:00:00",26.2271665,84.3570427,PM2.5,8,147,58
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","03-06-2026 23:00:00",26.2271665,84.3570427,CO,33,114,108
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","03-06-2026 23:00:00",30.735567,76.775714,PM10,27,72,45
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","03-06-2026 23:00:00",30.751462,76.762879,PM2.5,45,80,65
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","03-06-2026 23:00:00",30.751462,76.762879,OZONE,10,49,47
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","03-06-2026 23:00:00",30.719859,76.738637,NO2,12,127,54
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","03-06-2026 23:00:00",21.194815,81.314770,SO2,12,43,25
